eta,momentum,hidden,epochs_done,final_mse
0.01,0.0,1,5000,0.07339128052896665
0.01,0.0,2,5000,0.00047212943675278564
0.01,0.0,3,5000,0.0004913200385674641
0.01,0.9,1,5000,0.07300986891527983
0.01,0.9,2,1663,9.998299191288868e-05
0.01,0.9,3,1698,9.996019950144183e-05
0.05,0.0,1,5000,0.07300463141023088
0.05,0.0,2,3325,9.998436504845605e-05
0.05,0.0,3,3397,9.999940018351214e-05
0.05,0.9,1,5000,0.07407339096090797
0.05,0.9,2,334,9.982224990527992e-05
0.05,0.9,3,339,9.992974515464449e-05
0.1,0.0,1,5000,0.07310270124904547
0.1,0.0,2,1663,9.997850783992907e-05
0.1,0.0,3,1698,9.994301129528272e-05
0.1,0.9,1,5000,0.07519407582129307
0.1,0.9,2,168,9.989376579714979e-05
0.1,0.9,3,170,9.946426083332599e-05
0.2,0.0,1,5000,0.07338114764236212
0.2,0.0,2,832,9.9964425411824e-05
0.2,0.0,3,848,9.987989736959277e-05
0.2,0.9,1,5000,0.07680459680089928
0.2,0.9,2,85,9.994191031256781e-05
0.2,0.9,3,86,9.96583765839563e-05
